humidity,temp,dewSpread,cloudLow,cloudMid,cloudHigh,cloudTotal,wind,pressure,precip24,precip48,precipToday,wetThenClear,nightCloudHigh,nightCloudTotal,nightCloudLow,nightCooling,windDir,humidityNight,humidityRise,elevation,month,label,date,lat,lon,source
90.75,20.875,1.5500000000000007,8.75,2,25.75,34.75,2.9749999999999996,1011.1750000000001,10.9,32.6,5.5,1,7.6,26.8,16.4,1.9333333333333336,131,90,0.75,1918,4,0,2024-04-15,27.51,114.15,control-day
99.25,16.675,0.1750000000000007,100,4.75,69,100,2.2750000000000004,1011.2750000000001,3.2,14.799999999999997,15.799999999999999,0,5.8,96.6,91.4,1.1666666666666679,17,98.2,1.0499999999999972,1918,4,0,2026-04-15,27.51,114.15,control-day
96.75,15.350000000000001,0.49999999999999956,96.75,90.75,100,100,5.95,1003.775,3.6,8.899999999999997,16.600000000000005,0,84.6,100,100,1.56666666666667,27,95.4,1.3499999999999943,1262,4,0,2024-04-19,29.32,110.43,control-day
99.5,13.8,0.10000000000000009,100,99.5,83.25,100,4.800000000000001,1007.5,5.6,14.500000000000002,6.1000000000000005,0,86.8,100,100,1.0666666666666664,72,98.4,1.0999999999999943,1262,4,0,2026-04-08,29.32,110.43,control-day
35.5,12.274999999999999,14.825,0,0,0,0,6.775,1014.9750000000001,0,0,0,0,0,0,0,5.883333333333335,298,34.2,1.2999999999999972,1291,4,0,2025-04-28,39.97,116.06,control-day
97.75,5.824999999999999,0.375,74.75,0,0,74.75,4.575,1014.8000000000001,6.1,8.6,0,0,0,29.2,29.2,3.716666666666667,315,98,-0.25,1291,4,0,2024-04-11,39.97,116.06,control-day
98.25,15.475,0.2750000000000008,29,92.25,3,93.25,2.075,1013.3,4.2,4.5,9.899999999999997,0,42,87.8,7.8,3.866666666666667,162,97.2,1.0499999999999972,800,4,0,2024-04-12,30.35,120.06,control-day
82.25,16.424999999999997,3.15,0,0,3.5,3.5,5.2749999999999995,1008.2,0.2,0.30000000000000004,0.8,0,0,0,0,6.9499999999999975,178,82.8,-0.5499999999999972,800,4,0,2025-04-11,30.35,120.06,control-day
64.5,4.375,6.1499999999999995,0,0,34.5,34.5,3.8,1023.15,0,0,0,0,67.6,67.6,0,3.1333333333333324,15,66.2,-1.7000000000000028,1545,4,0,2026-04-29,36.25,117.1,control-day
81.25,8.6,3.1,0,87.75,100,100,5.225,1006.4749999999999,0,0,0,0,99.8,100,0,5.983333333333331,16,76.2,5.049999999999997,1545,4,0,2024-04-02,36.25,117.1,control-day
